Time,Roll,Pitch,Yaw,AccelX,AccelY,AccelZ,Letter,Name
1525788581,0.165618802,0.276787894,-1.981901744,-0.391467333,-0.000200808,-0.198578656,Z,James
1525788581,0.165034378,0.278303071,-1.985752652,-0.398580849,0.012456328,-0.203992069,Z,James
1525788581,0.164664358,0.28030876,-1.990657531,-0.394431353,0.023509055,-0.191051424,Z,James
1525788581,0.164412707,0.282695401,-1.996339202,-0.393534958,0.038680166,-0.162475824,Z,James
1525788582,0.164546392,0.285150589,-2.002854486,-0.378808945,0.071630955,-0.152127981,Z,James
1525788582,0.164862434,0.287687863,-2.009893145,-0.3481372,0.088179231,-0.159232438,Z,James
1525788582,0.165357364,0.290558831,-2.017267034,-0.332632005,0.101429075,-0.157691717,Z,James
1525788582,0.166346281,0.293697038,-2.024832777,-0.342709422,0.115054429,-0.141420662,Z,James
1525788582,0.167738052,0.296869845,-2.03280061,-0.347653091,0.094103098,-0.150761783,Z,James
1525788582,0.169437541,0.300285118,-2.041180302,-0.359690636,0.068757057,-0.161530912,Z,James
1525788582,0.17154133,0.304081063,-2.050381606,-0.38502261,0.069634438,-0.172933757,Z,James
1525788582,0.173821448,0.308445197,-2.060537442,-0.423193097,0.059696347,-0.165921271,Z,James
1525788582,0.176800439,0.313233758,-2.072133916,-0.450190216,0.053253829,-0.132396698,Z,James
1525788582,0.181271959,0.318031187,-2.085280392,-0.437460363,0.055082947,-0.102804482,Z,James
1525788582,0.18708926,0.322782442,-2.099854896,-0.396502078,0.077887684,-0.069169164,Z,James
1525788582,0.193946854,0.327459639,-2.115472909,-0.350674242,0.098051667,-0.015607595,Z,James
1525788582,0.201469295,0.331678221,-2.131857853,-0.312539399,0.118660033,0.022152543,Z,James
1525788582,0.209655511,0.335146735,-2.148709921,-0.261576355,0.130253553,0.023429632,Z,James
1525788582,0.218380901,0.338111475,-2.166063882,-0.2122567,0.146006614,-0.014127493,Z,James
1525788582,0.226978996,0.34122351,-2.183847407,-0.18230617,0.144073308,-0.052054822,Z,James
1525788582,0.23517376,0.345192717,-2.202506012,-0.142957404,0.138701499,-0.066368103,Z,James
1525788582,0.242511279,0.350551637,-2.221963979,-0.114361048,0.123964041,-0.03091085,Z,James
1525788582,0.248897056,0.357034103,-2.242221161,-0.116558045,0.116952956,0.056838572,Z,James
1525788582,0.255070095,0.363899374,-2.263185828,-0.104336262,0.101526439,0.146467745,Z,James
1525788582,0.261434678,0.370461715,-2.284713693,-0.081935793,0.085999101,0.231173933,Z,James
1525788582,0.267835318,0.37590638,-2.306894016,-0.042552471,0.07812959,0.265952885,Z,James
1525788582,0.274334986,0.380189379,-2.32977613,0.002572596,0.084414214,0.28205353,Z,James
1525788582,0.281750978,0.383175895,-2.353105078,0.057523966,0.099835336,0.34896481,Z,James
1525788582,0.291060356,0.384063786,-2.376119703,0.116658568,0.116787255,0.38566649,Z,James
1525788582,0.301776804,0.382720235,-2.398477855,0.184460431,0.148484945,0.345951676,Z,James
1525788582,0.312075815,0.380318865,-2.420104142,0.254454762,0.176087171,0.275938153,Z,James
1525788582,0.320927113,0.378056495,-2.441243514,0.246380031,0.173985541,0.274174809,Z,James
1525788582,0.32826918,0.37661593,-2.46206698,0.381450027,0.232704878,0.200860977,Z,James
1525788582,0.334061453,0.376047879,-2.482413433,0.466040134,0.248823941,0.207485616,Z,James
1525788582,0.338350597,0.376253068,-2.501576994,0.552280128,0.260641962,0.232114613,Z,James
1525788582,0.342361013,0.376862281,-2.518830686,0.630687594,0.282341927,0.328421533,Z,James
1525788582,0.346784799,0.376863495,-2.533272148,0.683151603,0.290491223,0.417333186,Z,James
1525788582,0.351147061,0.375558016,-2.544427261,0.694891572,0.301270485,0.460280895,Z,James
1525788582,0.354867809,0.373102075,-2.552667548,0.68901217,0.306354582,0.467631996,Z,James
1525788582,0.357361909,0.370034469,-2.558751152,0.676100314,0.298659295,0.474777937,Z,James
1525788582,0.35811386,0.366993157,-2.563497924,0.641002059,0.302322388,0.499255419,Z,James
1525788582,0.356535545,0.364042652,-2.567356131,0.635895371,0.298437655,0.552135289,Z,James
1525788582,0.352911987,0.360669393,-2.57027591,0.643784285,0.293543935,0.588201165,Z,James
1525788582,0.348093635,0.356495231,-2.57181745,0.676098585,0.293160081,0.607743025,Z,James
1525788582,0.342635851,0.351397144,-2.571360594,0.685734391,0.302522898,0.608224392,Z,James
1525788582,0.336609487,0.345313055,-2.568311167,0.674666762,0.305517018,0.601220548,Z,James
1525788582,0.330573164,0.338013118,-2.5627045,0.642038822,0.29296279,0.594224453,Z,James
1525788582,0.324718353,0.329388227,-2.55477393,0.606770635,0.279000103,0.566498578,Z,James
1525788582,0.317917047,0.319702477,-2.544921805,0.580951393,0.248610288,0.501015007,Z,James
1525788582,0.309559666,0.309301181,-2.533266225,0.546746314,0.231944323,0.438474,Z,James
1525788582,0.301398455,0.298227313,-2.52039949,0.500061154,0.23955071,0.384542048,Z,James
1525788582,0.29380962,0.286703566,-2.506110228,0.436026603,0.250733167,0.349825382,Z,James
1525788582,0.286565891,0.274994121,-2.490767534,0.358346969,0.264720619,0.330466747,Z,James
1525788582,0.280024298,0.263181567,-2.475455813,0.315245062,0.265128255,0.347176969,Z,James
1525788582,0.27372304,0.251078634,-2.460757064,0.319182247,0.262960017,0.391964495,Z,James
1525788582,0.266630507,0.23796811,-2.446061304,0.373642445,0.268260241,0.391809285,Z,James
1525788582,0.258250561,0.223335275,-2.430206065,0.43248713,0.259782851,0.308334947,Z,James
1525788582,0.249425656,0.20729027,-2.412138967,0.432387233,0.24824363,0.196798325,Z,James
1525788582,0.241351292,0.190115773,-2.391508956,0.377687752,0.235893369,0.102491975,Z,James
1525788582,0.235417783,0.17248991,-2.368812352,0.253808856,0.233311862,0.045373797,Z,James
1525788582,0.231970142,0.154775008,-2.345636679,0.112040415,0.232984707,0.05415678,Z,James
1525788582,0.230118596,0.136468096,-2.323592445,0.05610165,0.236936018,0.071047664,Z,James
1525788582,0.228093331,0.11691246,-2.302836932,0.076677233,0.236198917,0.014385641,Z,James
1525788582,0.224788112,0.096079504,-2.281938337,0.12863788,0.197326407,-0.146079302,Z,James
1525788582,0.221337808,0.074867189,-2.260125954,0.124540076,0.170622468,-0.36369139,Z,James
1525788582,0.219366075,0.055486072,-2.237658015,0.076455653,0.163184658,-0.486480296,Z,James
1525788582,0.219072085,0.038899749,-2.21523244,0.01338549,0.150370657,-0.473460972,Z,James
1525788582,0.220412138,0.024707408,-2.193442895,-0.075391859,0.162201837,-0.377090514,Z,James
1525788582,0.222343975,0.012036439,-2.173540118,-0.115642115,0.182263196,-0.262617707,Z,James
1525788582,0.222664709,-0.00027834,-2.155053773,-0.119938195,0.190426007,-0.191359341,Z,James
1525788582,0.219905663,-0.013729569,-2.136712282,-0.111503839,0.165866822,-0.247989893,Z,James
1525788582,0.216259697,-0.028461185,-2.117560707,-0.12583749,0.111572564,-0.43930763,Z,James
1525788582,0.214195863,-0.04305218,-2.097919065,-0.16433011,0.084600888,-0.619354129,Z,James
1525788582,0.213991888,-0.055348859,-2.07841371,-0.238434911,0.056144848,-0.706098676,Z,James
1525788582,0.21464163,-0.064268428,-2.06016991,-0.33963275,0.047958419,-0.636231422,Z,James
1525788582,0.215371683,-0.070553535,-2.044496572,-0.37753126,0.072037332,-0.475011528,Z,James
1525788582,0.215240439,-0.075600116,-2.031545403,-0.345815271,0.092135452,-0.324159443,Z,James
1525788582,0.212705561,-0.080864293,-2.019961112,-0.268230975,0.099247001,-0.261204362,Z,James
1525788582,0.207824991,-0.087284689,-2.008059295,-0.25402388,0.072860278,-0.331151187,Z,James
1525788582,0.20342514,-0.094266192,-1.995533801,-0.301271498,0.053883605,-0.455692947,Z,James
1525788582,0.201612123,-0.101038437,-1.983045528,-0.334481686,0.029458702,-0.510923684,Z,James
1525788582,0.202072452,-0.106661384,-1.970579322,-0.431950837,0.043977149,-0.499425292,Z,James
1525788582,0.203309561,-0.111732462,-1.959700441,-0.479552925,0.03858532,-0.442551255,Z,James
1525788582,0.204700759,-0.116267204,-1.950516503,-0.472638488,0.066581242,-0.40021503,Z,James
1525788582,0.205346348,-0.119903744,-1.942761939,-0.426410735,0.08007513,-0.358284533,Z,James
1525788582,0.204309608,-0.122905795,-1.93591913,-0.368459672,0.080146931,-0.340059638,Z,James
1525788582,0.202147098,-0.12561082,-1.928956189,-0.365405321,0.060571283,-0.383732319,Z,James
1525788582,0.200381223,-0.1274926,-1.921892579,-0.413903922,0.046756923,-0.420342803,Z,James
1525788582,0.199488403,-0.128467735,-1.915091383,-0.46974349,0.028745696,-0.415146649,Z,James
1525788582,0.199161816,-0.12864854,-1.908953844,-0.534866333,0.001588851,-0.397618711,Z,James
1525788582,0.198980984,-0.128165417,-1.903879598,-0.595814228,-0.017463252,-0.360489488,Z,James
1525788582,0.198757292,-0.127267644,-1.900539481,-0.633522153,-0.038896412,-0.33944428,Z,James
